id,type,src,dst,app,latency,message,ctime,size,buffer
75,LINK,1,0,SimpleCase,10.001,M.A,7500,1000,0
75,LINK,0,2,SimpleCase,1.0005,M.B,7510.005,500,0
76,LINK,1,0,SimpleCase,10.001,M.A,7600,1000,0
76,LINK,0,2,SimpleCase,1.0005,M.B,7610.005,500,0
77,LINK,1,0,SimpleCase,10.001,M.A,7700,1000,0
77,LINK,0,2,SimpleCase,1.0005,M.B,7710.005,500,0
78,LINK,1,0,SimpleCase,10.001,M.A,7800,1000,0
78,LINK,0,2,SimpleCase,1.0005,M.B,7810.005,500,0
79,LINK,1,0,SimpleCase,10.001,M.A,7900,1000,0
79,LINK,0,2,SimpleCase,1.0005,M.B,7910.005,500,0
80,LINK,1,0,SimpleCase,10.001,M.A,8000,1000,0
80,LINK,0,2,SimpleCase,1.0005,M.B,8010.005,500,0
81,LINK,1,0,SimpleCase,10.001,M.A,8100,1000,0
81,LINK,0,2,SimpleCase,1.0005,M.B,8110.005,500,0
82,LINK,1,0,SimpleCase,10.001,M.A,8200,1000,0
82,LINK,0,2,SimpleCase,1.0005,M.B,8210.005000000001,500,0
83,LINK,1,0,SimpleCase,10.001,M.A,8300,1000,0
83,LINK,0,2,SimpleCase,1.0005,M.B,8310.005000000001,500,0
84,LINK,1,0,SimpleCase,10.001,M.A,8400,1000,0
84,LINK,0,2,SimpleCase,1.0005,M.B,8410.005000000001,500,0
85,LINK,1,0,SimpleCase,10.001,M.A,8500,1000,0
85,LINK,0,2,SimpleCase,1.0005,M.B,8510.005000000001,500,0
86,LINK,1,0,SimpleCase,10.001,M.A,8600,1000,0
86,LINK,0,2,SimpleCase,1.0005,M.B,8610.005000000001,500,0
87,LINK,1,0,SimpleCase,10.001,M.A,8700,1000,0
87,LINK,0,2,SimpleCase,1.0005,M.B,8710.005000000001,500,0
88,LINK,1,0,SimpleCase,10.001,M.A,8800,1000,0
88,LINK,0,2,SimpleCase,1.0005,M.B,8810.005000000001,500,0
89,LINK,1,0,SimpleCase,10.001,M.A,8900,1000,0
89,LINK,0,2,SimpleCase,1.0005,M.B,8910.005000000001,500,0
90,LINK,1,0,SimpleCase,10.001,M.A,9000,1000,0
90,LINK,0,2,SimpleCase,1.0005,M.B,9010.005000000001,500,0
91,LINK,1,0,SimpleCase,10.001,M.A,9100,1000,0
91,LINK,0,2,SimpleCase,1.0005,M.B,9110.005000000001,500,0
92,LINK,1,0,SimpleCase,10.001,M.A,9200,1000,0
92,LINK,0,2,SimpleCase,1.0005,M.B,9210.005000000001,500,0
93,LINK,1,0,SimpleCase,10.001,M.A,9300,1000,0
93,LINK,0,2,SimpleCase,1.0005,M.B,9310.005000000001,500,0
94,LINK,1,0,SimpleCase,10.001,M.A,9400,1000,0
94,LINK,0,2,SimpleCase,1.0005,M.B,9410.005000000001,500,0
95,LINK,1,0,SimpleCase,10.001,M.A,9500,1000,0
95,LINK,0,2,SimpleCase,1.0005,M.B,9510.005000000001,500,0
96,LINK,1,0,SimpleCase,10.001,M.A,9600,1000,0
96,LINK,0,2,SimpleCase,1.0005,M.B,9610.005000000001,500,0
97,LINK,1,0,SimpleCase,10.001,M.A,9700,1000,0
97,LINK,0,2,SimpleCase,1.0005,M.B,9710.005000000001,500,0
98,LINK,1,0,SimpleCase,10.001,M.A,9800,1000,0
98,LINK,0,2,SimpleCase,1.0005,M.B,9810.005000000001,500,0
99,LINK,1,0,SimpleCase,10.001,M.A,9900,1000,0
99,LINK,0,2,SimpleCase,1.0005,M.B,9910.005000000001,500,0
